experiment_id,site_id,pond_id,strain_id,date,afdw_g_l,source_target_rows,duration_days,depth_cm,nitrate_mg_l,ammonium_mg_l,phosphorus_mg_l,sensor_ph,water_temp_avg_c,water_temp_max_c,water_temp_min_c,conductivity_reported_ms_cm,do_mg_l,do_pct_sat,salinity_g_l,par_umol_m2_s,instrument_join,air_temp_c,relative_humidity_pct,global_light_w_m2,wind_km_h,precipitation_cm,weather_join,day_of_year_sin,day_of_year_cos
OCT172013,ASU,P1,KA32,2013-10-17,0.06,1,0.0,25.0,,,,8.22,20.96,26.1,15.5,50713.69,5.98,81.68,33.3,0.0,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,ASU,P2,KA32,2013-10-17,0.06,1,0.0,25.0,,,,8.08,,,,48009.3,7.27,92.3,31.32,,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,ASU,P3,KA32,2013-10-17,0.05,1,0.0,25.0,,,,8.19,20.71,26.1,15.3,52812.67,7.62,104.75,34.85,,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,ASU,P4,KA32,2013-10-17,0.06,1,0.0,25.0,,,,7.82,21.13,26.4,15.4,53078.66,11.6,160.0,35.05,,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,ASU,P5,KA32,2013-10-17,0.06,1,0.0,25.0,,,,7.35,20.68,25.6,15.2,52563.63,5.29,72.57,34.68,,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,ASU,P6,KA32,2013-10-17,0.06,1,0.0,25.0,,,,8.0,,,,51785.37,4.98,70.0,34.08,0.0,both,18.94,29.22,222.64,3.71,0.0,both,-0.9620675724981452,0.27281126433401914
OCT172013,GT,P1,KA32,2013-10-17,0.02,1,0.0,,,,,7.7,19.92,22.9,18.1,17223.98,5.61,64.96,11.13,0.0,both,18.33,88.08,42.75,8.77,0.51,both,-0.9620675724981452,0.27281126433401914
OCT172013,GT,P3,KA32,2013-10-17,0.02,1,0.0,,,,,,,,,,,,,,left_only,18.33,88.08,42.75,8.77,0.51,both,-0.9620675724981452,0.27281126433401914
OCT172013,GT,P4,KA32,2013-10-17,0.02,1,0.0,32.0,,,,6.57,20.14,24.4,17.2,4017.14,8.25,92.2,2.1,,both,18.33,88.08,42.75,8.77,0.51,both,-0.9620675724981452,0.27281126433401914
OCT172013,GT,P5,KA32,2013-10-17,0.01,1,0.0,,,,,,,,,,,,,,left_only,18.33,88.08,42.75,8.77,0.51,both,-0.9620675724981452,0.27281126433401914
