observed_at,time_step,pond_id,condition_label,condition_severity,record_provenance,site_id,strain_id,duration_days,depth_cm,nitrate_mg_l,ammonium_mg_l,phosphorus_mg_l,sensor_ph,water_temp_avg_c,water_temp_max_c,water_temp_min_c,conductivity_reported_ms_cm,do_mg_l,do_pct_sat,salinity_g_l,par_umol_m2_s,air_temp_c,relative_humidity_pct,global_light_w_m2,co2_ppm,wind_km_h,precipitation_cm,satellite_red,satellite_green,satellite_blue,satellite_RE1,latitude,longitude,dataset,category,image_path,image_source_id,image_condition_expected,image_provenance,association_provenance
2026-09-12T10:00:00+05:30,1,pond-01,stable,0.08,synthetic_gradual_stream,ASU,KA32,12.0,25.0,55.0,0.472,3.2,8.05,26.0,28.0,24.2,48104.0,8.6,111.8,32.0,286.0,28.2,69.76,220.0,477.6,3.72,0.0,0.0956,0.1652,0.1172,0.1372,40.15,-111.86,whole-lake,whole-lake,stream_images/pond-01-step-001.jpg,pond_105,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:00+05:30,1,pond-02,heat_low_oxygen_normal,0.08,synthetic_gradual_stream,CP,LRB-AZ-1201,12.0,22.0,42.04,0.472,2.64,8.166,27.72,29.72,25.92,48944.0,7.728,100.464,35.0,372.32,29.92,69.76,286.4,512.0,3.72,0.0,0.0956,0.1652,0.1172,0.1372,40.16,-111.85,whole-lake,whole-lake,stream_images/pond-02-step-001.jpg,pond_106,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:00+05:30,1,pond-03,nutrient_light_limited_normal,0.1,synthetic_gradual_stream,FA,C046,12.0,28.0,34.35,0.465,2.355,8.1,24.5,26.5,22.7,46180.0,7.5,97.5,25.0,369.85,26.7,69.2,284.5,482.9,3.9,0.0,0.097,0.164,0.1165,0.1365,40.14,-111.87,whole-lake,whole-lake,stream_images/pond-03-step-001.jpg,pond_109,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:10+05:30,2,pond-01,stable,0.08076,synthetic_gradual_stream,ASU,KA32,12.000116,25.0,54.9759,0.4717,3.1988,8.05,26.0115,28.0115,24.2115,48105.36,8.6,111.799,32.0,286.03,28.2115,69.739,220.023,478.7,3.727,0.0113,0.095653,0.165155,0.117174,0.137174,40.15,-111.86,whole-lake,whole-lake,stream_images/pond-01-step-002.jpg,pond_110,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:10+05:30,2,pond-02,heat_low_oxygen_normal,0.08005,synthetic_gradual_stream,CP,LRB-AZ-1201,12.000116,22.0,42.038,0.472,2.6399,8.1661,27.7205,29.7206,25.9205,48944.1,7.7277,100.46,35.0,372.343,29.9205,69.758,286.418,512.6,3.72,0.0113,0.095604,0.165197,0.117198,0.137198,40.16,-111.85,whole-lake,whole-lake,stream_images/pond-02-step-002.jpg,pond_111,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:10+05:30,2,pond-03,nutrient_light_limited_normal,0.10006,synthetic_gradual_stream,FA,C046,12.000116,28.0,34.3477,0.465,2.3548,8.1001,24.4997,26.4998,22.6997,46180.11,7.4999,97.498,25.0,369.829,26.6997,69.198,284.484,483.5,3.901,0.0113,0.097004,0.163996,0.116498,0.136498,40.14,-111.87,whole-lake,whole-lake,stream_images/pond-03-step-002.jpg,pond_112,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:20+05:30,3,pond-01,stable,0.08151,synthetic_gradual_stream,ASU,KA32,12.000231,25.0,54.9518,0.4715,3.1976,8.0501,26.0231,28.0234,24.2231,48106.72,8.5998,111.798,32.0,286.121,28.2231,69.718,220.093,479.7,3.734,0.0226,0.095706,0.165109,0.117147,0.137147,40.15,-111.86,whole-lake,whole-lake,stream_images/pond-01-step-003.jpg,pond_113,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:20+05:30,3,pond-02,heat_low_oxygen_normal,0.08022,synthetic_gradual_stream,CP,LRB-AZ-1201,12.000231,22.0,42.032,0.4719,2.6396,8.1663,27.7219,29.7223,25.9219,48944.39,7.7267,100.447,35.0,372.412,29.9219,69.754,286.471,513.2,3.722,0.0226,0.095615,0.165187,0.117192,0.137192,40.16,-111.85,whole-lake,whole-lake,stream_images/pond-02-step-003.jpg,pond_114,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:20+05:30,3,pond-03,nutrient_light_limited_normal,0.10025,synthetic_gradual_stream,FA,C046,12.000231,28.0,34.3409,0.4649,2.3544,8.1003,24.4987,26.4991,22.6987,46180.45,7.4995,97.493,25.0,369.767,26.6987,69.193,284.436,484.1,3.902,0.0226,0.097018,0.163985,0.116491,0.136491,40.14,-111.87,whole-lake,whole-lake,stream_images/pond-03-step-003.jpg,pond_115,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
2026-09-12T10:00:30+05:30,4,pond-01,stable,0.08227,synthetic_gradual_stream,ASU,KA32,12.000347,25.0,54.9277,0.4712,3.1964,8.0501,26.0349,28.0357,24.2349,48108.08,8.5996,111.795,32.0,286.272,28.2349,69.697,220.209,480.7,3.74,0.0338,0.095759,0.165064,0.117121,0.137121,40.15,-111.86,whole-lake,whole-lake,stream_images/pond-01-step-004.jpg,pond_116,OPTIMUM,fishpond_visual_condition_v2_fixture,synthetic_condition_matched_mapping
